Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
NFD,Falkenauer_t60_00.txt,6300,25
NFD,Falkenauer_t60_01.txt,6150,25
NFD,Falkenauer_t60_02.txt,6420,25
NFD,Falkenauer_t60_03.txt,6210,25
NFD,Falkenauer_t60_04.txt,6360,24
NFD,Falkenauer_t60_05.txt,6180,25
NFD,Falkenauer_t60_06.txt,6260,25
NFD,Falkenauer_t60_07.txt,6270,24
NFD,Falkenauer_t60_08.txt,6100,25
NFD,Falkenauer_t60_09.txt,6260,25
WFD,Falkenauer_t60_00.txt,8300,23
WFD,Falkenauer_t60_01.txt,7990,23
WFD,Falkenauer_t60_02.txt,8280,23
WFD,Falkenauer_t60_03.txt,8110,23
WFD,Falkenauer_t60_04.txt,7830,24
WFD,Falkenauer_t60_05.txt,7900,23
WFD,Falkenauer_t60_06.txt,7860,23
WFD,Falkenauer_t60_07.txt,7840,23
WFD,Falkenauer_t60_08.txt,7970,23
WFD,Falkenauer_t60_09.txt,7910,23
FFD,Falkenauer_t60_00.txt,7580,23
FFD,Falkenauer_t60_01.txt,7740,23
FFD,Falkenauer_t60_02.txt,7510,23
FFD,Falkenauer_t60_03.txt,8360,23
FFD,Falkenauer_t60_04.txt,7670,24
FFD,Falkenauer_t60_05.txt,7650,23
FFD,Falkenauer_t60_06.txt,7810,23
FFD,Falkenauer_t60_07.txt,7660,23
FFD,Falkenauer_t60_08.txt,7610,23
FFD,Falkenauer_t60_09.txt,7620,23
BFD,Falkenauer_t60_00.txt,8340,23
BFD,Falkenauer_t60_01.txt,7920,23
BFD,Falkenauer_t60_02.txt,8400,23
BFD,Falkenauer_t60_03.txt,8560,23
BFD,Falkenauer_t60_04.txt,7800,24
BFD,Falkenauer_t60_05.txt,8050,23
BFD,Falkenauer_t60_06.txt,8100,23
BFD,Falkenauer_t60_07.txt,7950,23
BFD,Falkenauer_t60_08.txt,8390,23
BFD,Falkenauer_t60_09.txt,8220,23
NFD,Falkenauer_t60_10.txt,6240,24
NFD,Falkenauer_t60_11.txt,6170,24
NFD,Falkenauer_t60_12.txt,6210,24
NFD,Falkenauer_t60_13.txt,6150,24
NFD,Falkenauer_t60_14.txt,6430,25
NFD,Falkenauer_t60_15.txt,6240,24
NFD,Falkenauer_t60_16.txt,6410,24
NFD,Falkenauer_t60_17.txt,6360,24
NFD,Falkenauer_t60_18.txt,6440,25
NFD,Falkenauer_t60_19.txt,6320,25
WFD,Falkenauer_t60_10.txt,7940,23
WFD,Falkenauer_t60_11.txt,7890,24
WFD,Falkenauer_t60_12.txt,8040,23
WFD,Falkenauer_t60_13.txt,7950,23
WFD,Falkenauer_t60_14.txt,7980,23
WFD,Falkenauer_t60_15.txt,7720,23
WFD,Falkenauer_t60_16.txt,7690,24
WFD,Falkenauer_t60_17.txt,7980,24
WFD,Falkenauer_t60_18.txt,7990,23
WFD,Falkenauer_t60_19.txt,7960,23
FFD,Falkenauer_t60_10.txt,7650,23
FFD,Falkenauer_t60_11.txt,7510,24
FFD,Falkenauer_t60_12.txt,7490,23
FFD,Falkenauer_t60_13.txt,7900,23
FFD,Falkenauer_t60_14.txt,7880,23
FFD,Falkenauer_t60_15.txt,7610,23
FFD,Falkenauer_t60_16.txt,7560,24
FFD,Falkenauer_t60_17.txt,7630,24
FFD,Falkenauer_t60_18.txt,7890,23
FFD,Falkenauer_t60_19.txt,7600,23
BFD,Falkenauer_t60_10.txt,8130,23
BFD,Falkenauer_t60_11.txt,7880,24
BFD,Falkenauer_t60_12.txt,8010,23
BFD,Falkenauer_t60_13.txt,8050,23
BFD,Falkenauer_t60_14.txt,7920,23
BFD,Falkenauer_t60_15.txt,7920,23
BFD,Falkenauer_t60_16.txt,8030,24
BFD,Falkenauer_t60_17.txt,7980,24
BFD,Falkenauer_t60_18.txt,8200,23
BFD,Falkenauer_t60_19.txt,8110,23
